Identifier 1,period,drought,future climate,facet,Label,i15:0,a15:0,i16:0,16:1w7,16:1w5, 16:0,10Me 16:0,i17:0,a17:0,cy17:0,10Me 17:0,"18:2w6,9",18:1w9 cis,18:1w9 trans,18:1wX, 18:0,10Me 18:0,cy19:0
PLFA_na_aFD3,drought,drought,future climate,Future Climate + Drought,natural abundance,0.013578,0.012897,0.013268,0.013367,0.012794,0.013185,0.013265,0.013025,0.013237,0.01316,0.014062333,0.013989,0.01379,0.013041,0.011632333,0.013567,0.013322,0.013228
PLFA_na_aFD4,drought,drought,future climate,Future Climate + Drought,natural abundance,0.013612,0.012819,0.013653,0.013345,0.013047,0.013175,0.01347,0.013806,0.01387,0.013994,0.014511,0.013287,0.013466,0.012524,0.01113,0.013275,0.01324,0.01336
PLFA_b1,rewetting,control,control,Ambient,labelled,0.226202,0.25542,0.108046,0.260188,0.337297,0.321733,0.209231,0.293809,0.263621,0.212726,0.171718,0.154003,0.213119,0.196773,0.210351,0.151267,0.127179,0.075181
PLFA_b2,rewetting,control,control,Ambient,labelled,0.133508,0.139181,0.070931,0.134892,0.184994,0.199507,0.111654,0.148914,0.136222,0.111137,0.097286,0.114323,0.131231,0.11686,0.123054,0.095108,0.079007,0.045753
PLFA_b3,rewetting,control,control,Ambient,labelled,0.246298,0.266118,0.105288,0.386454,0.385057,0.576255,0.253831,0.303349,0.276072,0.255751,0.332521,0.40278,0.452403,0.371119,0.442021,0.283306,0.201327,0.12081
PLFA_b4,rewetting,control,control,Ambient,labelled,0.12886,0.151091,0.055913,0.172963,0.211253,0.292577,0.13117,0.157289,0.149551,0.130354,0.112621,0.420295,0.366617,0.270472,0.369245,0.187883,0.136283,0.076833
PLFA_bD1,rewetting,drought,control,Drought,labelled,0.14258,0.169337,0.090341,0.14749,0.181806,0.260449,0.142167,0.179562,0.174176,0.148761,0.141642,0.113871,0.171789,0.17917,0.181525,0.152842,0.114645,0.067814
PLFA_bD2,rewetting,drought,control,Drought,labelled,0.120407,0.15021,0.077516,0.127606,0.159963,0.230163,0.119899,0.155617,0.156486,0.128301,0.122715,0.152702,0.187213,0.168067,0.178518,0.140682,0.103831,0.062774
PLFA_bD3,rewetting,drought,control,Drought,labelled,0.208515,0.258954,0.118799,0.247218,0.275742,0.428231,0.22765,0.268821,0.264987,0.237701,0.200687,0.233242,0.299427,0.279046,0.300628,0.22876,0.173815,0.108003
PLFA_bD4,rewetting,drought,control,Drought,labelled,0.128962,0.182034,0.083844,0.155039,0.225435,0.294104,0.178261,0.214649,0.207909,0.172292,0.147386,0.133005,0.188194,0.202492,0.216958,0.16863,0.119027,0.077134
PLFA_bF1,rewetting,control,future climate,Future Climate,labelled,0.185097,0.251331,0.089768,0.219854,0.314989,0.369806,0.205005,0.263433,0.262148,0.23078,0.189253,0.208444,0.266359,0.255732,0.303825,0.197178,0.140176,0.094113
PLFA_bF2,rewetting,control,future climate,Future Climate,labelled,0.183673,0.226565,0.073704,0.161788,0.218518,0.349575,0.168739,0.21741,0.213428,0.18819,0.179275,0.16411,0.210367,0.204167,0.210526,0.170235,0.122122,0.080529
PLFA_bF3,rewetting,control,future climate,Future Climate,labelled,0.202849,0.234993,0.101725,0.226921,0.275942,0.397019,0.205691,0.263922,0.254276,0.22686,0.214454,0.179134,0.229926,0.234724,0.228232,0.180052,0.137916,0.094026
PLFA_bF4,rewetting,control,future climate,Future Climate,labelled,0.207633,0.234887,0.099442,0.230024,0.303311,0.434781,0.229212,0.274018,0.263274,0.22488,0.214865,0.258849,0.298422,0.261516,0.267399,0.197681,0.144612,0.098838
PLFA_bFD1,rewetting,drought,future climate,Future Climate + Drought,labelled,0.184062,0.244134,0.117591,0.232962,0.290183,0.369818,0.198075,0.253828,0.256114,0.231009,0.288557,0.215283,0.271501,0.249432,0.276376,0.205668,0.1559,0.109355
PLFA_bFD2,rewetting,drought,future climate,Future Climate + Drought,labelled,0.1351,0.174358,0.107893,0.172813,0.236544,0.275583,0.158412,0.196745,0.20152,0.177141,0.150116,0.175115,0.205285,0.180724,0.192114,0.164492,0.116531,0.080464
PLFA_bFD3,rewetting,drought,future climate,Future Climate + Drought,labelled,0.23301,0.283031,0.169249,0.244049,0.268766,0.434626,0.236277,0.3189,0.313488,0.270488,0.25827,0.304367,0.347913,0.303644,0.303892,0.264198,0.195378,0.130323
PLFA_bFD4,rewetting,drought,future climate,Future Climate + Drought,labelled,0.172412,0.209678,0.133566,0.182007,0.231509,0.311994,0.177334,0.230828,0.228375,0.193203,0.169042,0.169835,0.217758,0.193105,0.208097,0.183212,0.131601,0.088476
PLFA_na_b1,rewetting,control,control,Ambient,natural abundance,0.014807,0.014355,0.014592,0.014765,0.014469,0.014725,0.014636,0.014686,0.014751,0.014659,0.014464,0.014427,0.01436,0.013971,0.012528,0.014179,0.014454,0.013863
PLFA_na_b2,rewetting,control,control,Ambient,natural abundance,0.014449,0.014086,0.014454,0.014353,0.014132,0.014214,0.01411,0.014138,0.014047,0.013991,0.0138535,0.014131,0.014126,0.013568,0.012619,0.013846,0.013883,0.01372
PLFA_na_b3,rewetting,control,control,Ambient,natural abundance,0.014525,0.014133,0.013988,0.014355,0.013796,0.014482,0.0137,0.01397,0.013993,0.014122,0.0138535,0.014448,0.014335,0.014064,0.013124,0.014066,0.013988,0.01365
PLFA_na_b4,rewetting,control,control,Ambient,natural abundance,0.014064,0.01355,0.013938,0.013877,0.013454,0.013816,0.013859,0.014099,0.014236,0.01433,0.013243,0.013895,0.014013,0.01346,0.01202,0.013702,0.014057,0.013678
